filename,exercise,angle,gender,label,mistake,notes
male_lunge_front_uneven_01.mov,lunge,front,male,bad,uneven weight distribution,
male_lunge_front_uneven_02.mov,lunge,front,male,bad,uneven weight distribution,
male_lunge_front_uneven_03.mov,lunge,front,male,bad,uneven weight distribution,
male_lunge_side_uneven_01.mov,lunge,side,male,bad,uneven weight distribution,
male_lunge_side_uneven_02.mov,lunge,side,male,bad,uneven weight distribution,
male_lunge_side_uneven_03.mov,lunge,side,male,bad,uneven weight distribution,
male_lunge_front_90degrees_01.mov,lunge,front,male,bad,Knees not reaching 90 degrees,
male_lunge_front_90degrees_02.mov,lunge,front,male,bad,Knees not reaching 90 degrees,
male_lunge_front_90degrees_03.mov,lunge,front,male,bad,Knees not reaching 90 degrees,
male_lunge_side_90degrees_01.mov,lunge,side,male,bad,Knees not reaching 90 degrees,
male_lunge_side_90degrees_02.mov,lunge,side,male,bad,Knees not reaching 90 degrees,
male_lunge_side_90degrees_03.mov,lunge,side,male,bad,Knees not reaching 90 degrees,
male_lunge_front_torso_01.mov,lunge,front,male,bad,torso leaning forward ,
male_lunge_front_torso_02.mov,lunge,front,male,bad,torso leaning forward ,
male_lunge_front_torso_03.mov,lunge,front,male,bad,torso leaning forward ,
male_lunge_side_torso_01.mov,lunge,side,male,bad,torso leaning forward ,
male_lunge_side_torso_02.mov,lunge,side,male,bad,torso leaning forward ,
male_lunge_side_torso_03.mov,lunge,side,male,bad,torso leaning forward ,
male_lunge_front_kneepasttoes_01.mov,lunge,front,male,bad,Knees going past toes ,
male_lunge_front_kneepasttoes_02.mov,lunge,front,male,bad,Knees going past toes ,
male_lunge_front_kneepasttoes_03.mov,lunge,front,male,bad,Knees going past toes ,
male_lunge_side_kneepasttoes_01.mov,lunge,side,male,bad,Knees going past toes ,
male_lunge_side_kneepasttoes_02.mov,lunge,side,male,bad,Knees going past toes ,
male_lunge_side_kneepasttoes_03.mov,lunge,side,male,bad,Knees going past toes ,
male_lunge_front_goodform_01.mov,lunge,front,male,good,good form,
male_lunge_front_goodform_02.mov,lunge,front,male,good,good form,
male_lunge_front_goodform_03.mov,lunge,front,male,good,good form,
male_lunge_side_goodform_01.mov,lunge,side,male,good,good form,
male_lunge_side_goodform_02.mov,lunge,side,male,good,good form,
male_lunge_side_goodform_03.mov,lunge,side,male,good,good form,
female_lunge_side_goodform_01.mov,lunge,side,female,good,good form,
female_lunge_side_goodform_02.mov,lunge,side,female,good,good form,
female_lunge_side_goodform_03.mov,lunge,side,female,good,good form,
female_lunge_front_goodform_01.mov,lunge,front,female,good,good form,
female_lunge_front_goodform_02.mov,lunge,front,female,good,good form,
female_lunge_front_goodform_03.mov,lunge,front,female,good,good form,
female_lunge_side_kneepasttoes_01.mov,lunge,side,female,bad,front_knee_past_toes,
female_lunge_side_kneepasttoes_02.mov,lunge,side,female,bad,front_knee_past_toes,
female_lunge_side_torsoleaning_01.mov,lunge,side,female,bad,torso_leaning_forward,
female_lunge_side_torsoleaning_02.mov,lunge,side,female,bad,torso_leaning_forward,
female_lunge_side_90degrees_01.mov,lunge,side,female,bad,not_90_degrees,
female_lunge_side_90degrees_02.mov,lunge,side,female,bad,not_90_degrees,
female_lunge_front_uneven_01.mov,lunge,front,female,bad,uneven_weight_distribution,
female_lunge_front_uneven_02.mov,lunge,front,female,bad,uneven_weight_distribution,
