filename,exercise,angle,gender,label,mistake,notes
male_pushups_side_good_form_01.mov,pushups,side,male,good,good form,
male_pushups_side_good_form_02.mov,pushups,side,male,good,good form,
male_pushups_side_good_form_03.mov,pushups,side,male,good,good form,
male_pushups_side_hips_sagging_01.mov,pushups,side,male,bad,hips sagging,
male_pushups_side_hips_sagging_02.mov,pushups,side,male,bad,hips sagging,
male_pushups_side_hips_sagging_03.mov,pushups,side,male,bad,hips sagging,
male_pushups_side_hips_raised_01.mov,pushups,side,male,bad,hips raised,
male_pushups_side_hips_raised_02.mov,pushups,side,male,bad,hips raised,
male_pushups_side_hips_raised_03.mov,pushups,side,male,bad,hips raised,
male_pushups_side_head_dropping_01.mov,pushups,side,male,bad,head dropping,
male_pushups_side_head_dropping_02.mov,pushups,side,male,bad,head dropping,
male_pushups_side_head_dropping_03.mov,pushups,side,male,bad,head dropping,
male_pushups_side_elbows_flaring_01.mov,pushups,side,male,bad,elbows flaring,
male_pushups_side_elbows_flaring_02.mov,pushups,side,male,bad,elbows flaring,
male_pushups_side_elbows_flaring_03.mov,pushups,side,male,bad,elbows flaring,
female_pushups_side_good_form_01.mov,pushups,side,female,good,good form,
female_pushups_side_good_form_02.mov,pushups,side,female,good,good form,
female_pushups_side_good_form_03.mov,pushups,side,female,good,good form,
male_pushups_side_hips_sagging_01.mov,pushups,side,female,bad,hips sagging,
male_pushups_side_hips_sagging_02.mov,pushups,side,female,bad,hips sagging,
female_pushups_side_hips_raised_01.mov,pushups,side,female,bad,hips raised,
female_pushups_side_hips_raised_02.mov,pushups,side,female,bad,hips raised,
female_pushups_side_head_dropping_01.mov,pushups,side,female,bad,head dropping,
female_pushups_side_head_dropping_02.mov,pushups,side,female,bad,head dropping,
female_pushups_side_elbows_flaring_01.mov,pushups,side,female,bad,elbows flaring,
female_pushups_side_elbows_flaring_02.mov,pushups,side,female,bad,elbows flaring,
